Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
2200 0004 A7E0 6014 04E6 376A, -65, 4.09266074207889, 920.4, 4, 2022/12/19 18:19:33
9990 1912 9990 9990 9990 0107, -55, 1.0062913968529805, 920.4, 4, 2022/12/19 18:19:33
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.1417481272912315, 920.4, 4, 2022/12/19 18:19:33
2200 43CB 43A1 E48A 543D 29B9, -66, 1.2026409377023426, 920.4, 4, 2022/12/19 18:19:33
2020 43CB 43A1 E88A 543D 29C9, -61, 1.8837284075235674, 920.4, 4, 2022/12/19 18:19:33
2200 4444 B4D0 6014 04E6 3739, -63.5, 2.2886993355253766, 920.4, 4, 2022/12/19 18:19:33
7B49, -67.5, 5.822991070813893, 920.4, 4, 2022/12/19 18:19:33
9990 1912 9990 9990 9990 0113, -57.5, 6.019340611663256, 920.4, 4, 2022/12/19 18:19:33
2200 4444 A450 6014 04E6 3731, -57.5, 5.786175531904639, 920.4, 4, 2022/12/19 18:19:33
2200 4444 A450 6014 04E6 3731, -60.5, 2.718213956133356, 920.4, 6, 2022/12/19 18:19:33
2020 43CB 43A1 E38A 543D 29B5, -66.5, 6.025476534814799, 920.4, 1, 2022/12/19 18:19:32
2020 43CB 43A1 E38A 543D 29B5, -70.5, 5.829126993965437, 920.4, 4, 2022/12/19 18:19:33
2200 43CB 43A1 D68A 543D 2981, -63, 2.724349879284899, 920.4, 1, 2022/12/19 18:19:32
2200 43CB 43A1 D68A 543D 2981, -71.5, 2.448233337465483, 920.4, 4, 2022/12/19 18:19:33
E200 4710 6990 6026 B9C9 0110, -62, 0.2945243112740431, 920.4, 1, 2022/12/19 18:19:32
2020 0000 4000 0000 0000 0012, -63, 2.36846633649543, 920.4, 1, 2022/12/19 18:19:32
5538 0000 4180 0400 0034 000B, -71.5, 0.04908738521234052, 920.4, 1, 2022/12/19 18:19:32
5538 0000 4180 0400 0034 000B, -66.5, 3.7429131224409646, 920.4, 4, 2022/12/19 18:19:33
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.436427912266712, 920.4, 1, 2022/12/19 18:19:32
2020 43CB 43A1 E78A 543D 29C5, -66, 6.154330920997192, 920.4, 4, 2022/12/19 18:19:33
2020 43CB 43A1 E78A 543D 29C5, -62, 1.7978254834019713, 920.4, 6, 2022/12/19 18:19:33
5598 0000 4004 0004 000C 0001, -54, 5.258486140871978, 920.4, 1, 2022/12/19 18:19:32
E200 470F 45D0 6023 A129 010E, -56.5, 4.546719055293041, 920.4, 1, 2022/12/19 18:19:32
E200 470F 45D0 6023 A129 010E, -60, 4.4362724385652745, 920.4, 4, 2022/12/19 18:19:33
E200 470F 45D0 6023 A129 010E, -60, 4.319689898685965, 920.4, 6, 2022/12/19 18:19:33
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.073942025221387, 920.4, 1, 2022/12/19 18:19:32
2200 43CB 43A1 CD8A 543D 295D, -67.5, 0.803805932852076, 920.4, 4, 2022/12/19 18:19:33
2020 43CB 43A2 198A 543D 2A8D, -51.5, 4.841243366567084, 920.4, 1, 2022/12/19 18:19:32
2020 43CB 43A2 198A 543D 2A8D, -57.5, 6.252505691421874, 920.4, 4, 2022/12/19 18:19:33
9990 1912 9990 9990 9990 0125, -59.5, 1.2578642460662257, 920.4, 6, 2022/12/19 18:19:35
5538 0000 4180 0440 0034 0007, -74, 5.497787143782138, 920.4, 4, 2022/12/19 18:19:35
5538 0000 4180 0400 0034 0007, -65.5, 2.030990563160589, 920.4, 4, 2022/12/19 18:19:35
9990 1912 9990 9990 9990 0107, -54.5, 1.0369710126106935, 920.4, 4, 2022/12/19 18:19:35
7B49, -67, 6.1850105367549055, 920.4, 4, 2022/12/19 18:19:35
2200 43CB 43A1 E48A 543D 29B9, -65.5, 1.380582709097077, 920.4, 4, 2022/12/19 18:19:35
2200 4444 A450 6014 04E6 3731, -57.5, 5.749359992995383, 920.4, 4, 2022/12/19 18:19:35
2200 4444 A450 6014 04E6 3731, -60.5, 2.6998061866787286, 920.4, 6, 2022/12/19 18:19:35
2200 4444 B4D0 6014 04E6 3739, -64, 2.6998061866787286, 920.4, 4, 2022/12/19 18:19:35
2200 0004 A7E0 6014 04E6 376A, -65, 4.190835512503572, 920.4, 4, 2022/12/19 18:19:35
9990 1912 9990 9990 9990 0113, -58, 6.117515382087937, 920.4, 4, 2022/12/19 18:19:35
2200 43CB 43A1 D68A 543D 2981, -63.5, 5.9088939949354895, 920.4, 1, 2022/12/19 18:19:34
E200 4710 6990 6026 B9C9 0110, -61, 0.2270291566070749, 920.4, 1, 2022/12/19 18:19:34
2020 43CB 43A1 E88A 543D 29C9, -62.5, 4.338097668140593, 920.4, 1, 2022/12/19 18:19:34
5538 0000 4180 0400 0034 000B, -71.5, 0.16566992509164924, 920.4, 1, 2022/12/19 18:19:34
5538 0000 4180 0400 0034 000B, -66.5, 0.8406214717613314, 920.4, 4, 2022/12/19 18:19:35
2200 43CB 43A1 DF8A 543D 29A5, -64.5, 0.7301748550335652, 920.4, 1, 2022/12/19 18:19:34
2200 43CB 43A1 DF8A 543D 29A5, -61, 4.1417481272912315, 920.4, 4, 2022/12/19 18:19:35
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.436427912266712, 920.4, 1, 2022/12/19 18:19:34
2020 43CB 43A1 E78A 543D 29C5, -68, 0.018407769454627694, 920.4, 4, 2022/12/19 18:19:35
2020 43CB 43A1 E78A 543D 29C5, -61.5, 1.7548740213411735, 920.4, 6, 2022/12/19 18:19:35
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.0800779483729293, 920.4, 1, 2022/12/19 18:19:34
